algorithm,arraylength,alldistinct,sorted,ascending,cputime,accesses,repeats,yyyy-mm-dd-hour:minute
Quicksort,100,false,false,false,0.002782,1793,139,2026-2-18-10:0
Mergesort,100,false,false,false,0.003146,3970,99,2026-2-18-10:0
Stalinsort,100,false,false,false,0.003429,201,100,2026-2-18-10:0
Selectionsort,1000000,true,false,true,980.833811,500003499996,999999,2026-2-18-10:24
Shellsort,1000000,true,false,true,51.918282,128651732,13,2026-2-18-10:24
Heapsort,1000000,true,false,true,145.693552,154704968,500000,2026-2-18-10:24
Bucketsort,1000000,true,false,true,18.905425,3000000,2000,2026-2-18-10:24
Quicksort,1000000,true,false,true,5.913676,62661007,1333609,2026-2-18-10:24
Mergesort,1000000,true,false,true,6.382932,119154952,999999,2026-2-18-10:24
Stalinsort,1000000,true,false,true,5.946285,2000001,1000000,2026-2-18-10:24
Heapsort,100,false,true,false,0.026240,5264,50,2026-2-18-10:27
Quicksort,100,false,true,false,0.003975,20196,199,2026-2-18-10:27
